YEAR,MONTH,DATE,TRANSECT,OBSERVER,GROUND,TYP1,TYP2,TYP3,TYP4,TYP5,TYP6,TYP7,TYP8,STR,DIT
1979,5,14,42,6,,7,25,7,8,14,,11,3,9,1
1979,5,12,43,6,,1,3,,2,5,,17,1,9,
1979,5,12,44,6,,,,,,2,,9,3,19,
1979,5,13,45,6,,6,2,,2,,,4,,12,3
1979,5,13,46,6,,17,5,1,1,5,,2,,13,7
1979,5,12,47,6,,8,9,3,8,2,,31,1,21,
1979,5,15,48,6,,2,6,1,,2,,14,,12,
1979,5,10,49,6,,24,3,6,5,6,,12,,10,2
1979,5,13,50,6,,3,16,,,4,,10,1,,1
1979,5,12,51,6,,,2,,1,5,,16,14,13,
1979,5,13,52,6,,19,12,4,6,7,,5,,17,12
1979,5,15,53,6,,1,6,1,2,5,,8,,14,1
1979,5,12,54,6,,10,10,4,4,4,,65,4,14,
1979,5,15,55,6,,2,,,,,,2,,13,
1980,5,5,1,6,,2,1,3,1,3,,9,,5,3
1980,5,6,2,6,,5,2,8,4,4,,11,,5,2
1980,5,7,3,6,,3,11,,3,3,,,,3,11
1980,5,6,4,6,,,1,4,1,2,,3,,1,8
1980,5,5,5,6,,,1,4,3,1,,4,,5,14
1980,5,6,6,6,,3,2,1,2,5,,,,2,10
1980,5,6,7,6,,6,3,4,2,3,,5,,8,3
1980,5,7,8,6,,2,15,1,1,3,,,,8,5
1980,5,6,9,6,,,,2,4,4,,12,,5,8
1980,5,5,10,6,,,,3,4,2,,,,1,6
1980,5,5,11,6,,3,3,2,1,4,,1,,3,18
1980,5,5,12,6,,2,,2,1,2,,,,2,1
1980,5,6,13,6,,4,1,3,5,4,,6,,5,10
1980,5,7,14,6,,2,9,4,2,9,,3,,2,12
1980,5,5,15,6,,2,,4,2,7,,2,,9,11
1980,5,6,16,6,,3,3,1,2,2,,6,,8,5
1980,5,7,17,6,,1,4,4,1,18,,,,11,2
1980,5,6,18,6,,4,10,2,1,4,,7,,5,13
1980,5,4,19,6,,2,2,2,1,7,,1,,1,5
1980,5,5,20,6,,2,3,10,1,3,,,,4,5
1980,5,6,21,6,,4,7,,3,6,,2,,2,9
1980,5,5,22,6,,2,3,5,1,5,,8,,7,10
1980,5,7,23,6,,2,7,4,1,7,,,,7,2
1980,5,5,24,6,,1,,2,,1,,,,4,24
1980,5,7,25,6,,,6,,,4,,1,,5,4
1980,5,5,26,6,,1,1,3,7,8,,,,5,9
1980,5,6,27,6,,1,,1,,5,,,,,9
1980,5,7,28,6,,2,13,,5,10,,9,,8,2
1980,5,6,29,6,,2,1,,7,9,,2,,5,4
1980,5,9,30,6,,,7,4,5,6,,,,4,1
1980,5,12,31,6,,,11,2,,4,,6,4,9,1
