year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species
1973,4,15,4,3,17,32,0,1,0,0,1,1
1973,4,15,4,3,17,40,0,1,0,0,1,2
1973,4,15,4,5,18,32,0,2,0,0,1,1
1973,4,15,4,5,18,49,0,0,0,8,1,9
1973,4,15,4,5,19,32,1,0,0,0,1,1
1973,4,15,4,5,20,49,9,0,0,0,1,9
1973,9,16,4,1,2,40,0,1,0,0,1,2
1973,9,16,4,1,3,40,0,4,0,0,1,2
1973,9,16,4,2,5,32,0,1,0,0,1,1
1973,9,16,4,2,6,40,0,1,0,0,1,2
1973,9,16,4,3,7,40,2,0,0,0,1,2
1973,9,16,4,5,8,40,0,1,0,0,1,2
1973,9,16,4,7,9,32,0,3,0,0,1,1
1973,9,16,4,3,11,32,0,2,0,0,1,1
1973,9,16,4,3,12,32,0,4,0,0,1,1
1973,9,16,1,2,14,40,0,1,0,0,1,2
1973,11,16,2,1,22,40,0,1,0,0,1,2
1973,15,17,1,5,1,32,0,2,0,0,1,1
1973,16,17,2,3,10,40,1,1,0,0,1,2
1973,16,17,2,3,11,44,0,2,0,0,1,3
1973,16,17,2,4,13,40,1,0,0,0,1,2
1973,16,17,2,4,14,40,1,0,0,0,1,2
1973,16,17,2,5,23,32,0,1,0,0,1,1
1973,16,17,2,5,23,40,1,0,0,0,1,2
1973,14,18,4,1,1,40,1,0,0,0,1,2
1973,14,18,4,1,2,32,0,1,0,0,1,1
1973,14,18,4,1,3,32,0,1,0,0,1,1
1973,14,18,4,1,4,32,0,2,0,0,1,1
1973,14,18,4,1,5,32,1,0,0,0,1,1
1973,14,18,4,1,5,40,1,0,0,0,1,2
1973,14,18,4,1,6,32,1,0,0,0,1,1
1973,14,18,4,1,6,42,1,0,0,0,1,5
1973,14,18,4,1,7,40,0,1,0,0,1,2
1973,14,18,4,2,8,40,0,1,0,0,1,2
1973,14,18,4,2,9,40,1,0,0,0,1,2
1973,14,18,4,2,10,40,0,1,0,0,1,2
1973,14,18,4,5,11,40,2,0,0,0,1,2
1973,14,18,4,7,12,40,0,1,0,0,1,2
1973,14,18,4,7,13,40,1,0,0,0,1,2
1973,14,18,4,7,14,32,1,0,0,0,1,1
1973,14,18,4,9,15,32,0,1,0,0,1,1
1973,14,18,4,10,16,32,0,2,0,0,1,1
1973,14,18,4,1,19,40,0,1,0,0,1,2
1973,14,18,4,1,20,32,0,1,0,0,1,1
1973,14,18,4,1,20,40,0,1,0,0,1,2
1973,14,18,4,1,21,32,0,3,0,0,1,1
1973,14,18,4,1,21,43,0,1,0,0,1,5
1973,14,18,4,1,22,40,1,0,0,0,1,2
1973,14,18,4,7,26,40,0,1,0,0,1,2
1973,3,19,4,0,1,32,1,0,0,0,1,1
1973,3,19,4,0,2,32,1,0,0,0,1,1
1973,3,19,4,1,3,32,0,2,0,0,1,1
1973,3,19,4,1,4,32,1,0,0,0,1,1
1973,3,19,4,1,4,40,1,0,0,0,1,2
1973,3,19,4,1,5,40,0,1,0,0,1,2
1973,3,19,4,1,6,40,1,0,0,0,1,2
1973,3,19,4,1,7,40,1,0,0,0,1,2
1973,3,19,4,3,8,32,0,1,0,0,1,1
1973,3,19,4,3,9,32,0,1,0,0,1,1
1973,3,19,4,3,10,39,0,0,0,5,1,5
1973,3,19,4,3,11,39,1,0,0,0,1,5
1973,3,19,4,4,13,32,1,0,0,0,1,1
1973,3,19,4,5,14,40,1,0,0,0,1,2
1973,3,19,4,5,15,40,1,0,0,0,1,2
1973,3,19,4,7,16,32,0,1,0,0,1,1
1973,3,19,4,10,17,40,0,0,0,10,1,2
1973,3,19,4,1,19,32,1,0,0,0,1,1
1973,3,19,4,1,20,40,0,1,0,0,1,2
1973,3,19,4,1,21,40,1,0,0,0,1,2
1973,3,19,4,1,22,42,0,1,0,0,1,5
1973,3,19,4,2,24,40,1,0,0,0,1,2
1973,3,19,4,2,24,43,0,1,0,0,1,5
