species,mean,sd,lcl,ucl,median,year,n
mallard,105124.85753799499,11666.585840133215,83784.3656733836,129597.09329442056,104406.28815857264,1982,89472
mallard,108609.7693869424,12085.284164775096,86734.37375692629,133069.71424793007,108124.39373973024,1983,119462
mallard,106027.77971530687,12072.624246316402,83552.65911201193,131060.36234600586,105418.84273857852,1984,104759
mallard,103257.35958981943,13315.658460800476,77346.9979037943,130724.400915303,102828.5046519237,1985,73909
mallard,116139.33310862657,13331.66275715884,91703.78451540592,143873.64381490933,115481.40795056816,1986,110763
mallard,132051.98158854767,14769.028458502618,105340.87220284976,163276.81544300372,131137.62246082316,1987,136947
mallard,146550.2029687295,16371.047906472766,118167.83240581716,183485.4206604195,145289.15604824654,1988,148901
mallard,161455.50667873584,18641.06790255201,129894.85173747469,201663.44684964264,159125.59841624927,1989,180676
mallard,167432.84196241538,18756.93842342385,133741.69556476251,206643.33694966626,166630.805040045,1990,151356
mallard,182542.98001956238,20869.283044361775,144386.11251658006,227612.6137038011,181505.46763379034,1991,172423
mallard,205613.0992007696,24422.8167502604,162393.9817726824,258425.09939506894,204066.5427789247,1992,249727
mallard,209010.7892439706,23583.54592400333,165670.94302337267,256383.8010343986,207825.8688360423,1993,174531
mallard,234773.21849591364,28095.38271073862,186054.34010078505,296072.88671719097,232124.65652156138,1994,283400
mallard,240967.3729888242,28210.851643276288,192616.7079935074,302376.75192900305,238944.19645123917,1995,242166
mallard,249406.41095420168,29323.643490540268,198283.23920930363,313543.14502766763,246819.4113516084,1996,314413
mallard,226411.494761567,26172.723609774217,178462.48712979976,282179.67478341184,225167.62651138083,1997,180968
mallard,229927.3744179479,27395.490380292715,179499.14390148362,287094.26026575844,229054.5177046875,1998,186891
mallard,255544.56799473634,28388.277019266523,205868.18542792785,315404.7383588968,253898.70604985766,1999,248446
mallard,289633.85941672197,39016.40804061272,225243.21369620078,378104.7643682415,285349.8042504904,2000,453979
mallard,260359.66209388786,29678.141193918753,207387.95446189103,323209.0260099376,258723.160199319,2001,183453
mallard,284499.0024777104,35027.17072110324,224405.8293657981,361616.68597437674,281615.80815262045,2002,378542
mallard,267253.9878065764,30334.708162754174,213537.11096117174,331115.02364602743,265389.08707561146,2003,261332
mallard,255079.85298911823,27772.925022210842,204985.59075414503,314349.4896424877,253183.5845930235,2004,229175
mallard,256615.37052335346,29775.816537454375,204303.96714949133,320208.11603221204,254167.69922800397,2005,317224
mallard,232597.292786222,25625.409903884756,185699.67165266798,285470.9060119489,231906.05659418285,2006,219494
mallard,217159.77239836392,23825.17727668028,173535.0934646261,267456.01282657415,215882.79527988174,2007,210219
mallard,205798.89559861567,23662.076072713004,163382.99289239166,255945.41708636153,204254.66866078653,2008,188429
mallard,202167.82138714058,22387.49186574685,159939.96032611717,252116.9702746816,201475.03549341427,2009,200497
mallard,197781.96906115746,21451.763933651553,159247.93717303124,244089.51410376243,196966.9710354238,2010,199107
mallard,192530.961666266,21434.66768924933,152875.91395938597,238082.6801819427,191421.56018036156,2011,187862
mallard,189667.6882078296,20740.39135422818,151032.2447934263,235828.76415176177,188211.8860887102,2012,196950
mallard,183127.47385107583,19867.525189445856,147392.20535570948,225845.27488883177,181583.37391574704,2013,181200
mallard,176512.12438667388,19937.022060578885,140843.9024781086,218178.2475058485,175544.79995039606,2014,158747
mallard,177367.88152591768,20166.569108861502,140215.74962466574,219764.13656589776,176545.70593128522,2015,176200
mallard,177425.81022267856,20073.588909269296,139974.6063040344,219671.23776995746,176313.85580789807,2016,164147
